ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1001,Agric eggs medium size,Jan-24,January,2024,1309.75,4.37,54,Adamawa ,1542,Ondo ,1130.53
1002,Agric eggs(medium size price of one),Jan-24,January,2024,116.41,5.78,33.45,Abuja ,140.01,Gombe ,100
1003,"Beans brown,sold loose",Jan-24,January,2024,976.58,12.16,64.42,Akwa_Ibom ,1466.67,Adamawa ,677.23
1004,Beans:white black eye. sold loose,Jan-24,January,2024,921.38,11.03,60.93,Imo ,1340.06,Adamawa ,655
1005,Beef Bone in,Jan-24,January,2024,2898.12,7.46,61.05,Kwara ,4888.03,Taraba ,1950
1006,"Beef,boneless",Jan-24,January,2024,3315.78,5.37,37.08,Abuja ,4000,Gombe ,2639
1007,Bread sliced 500g,Jan-24,January,2024,904.02,5.73,65.2,Rivers ,1270.17,Gombe ,546
1008,Bread unsliced 500g,Jan-24,January,2024,865.28,6.16,70.69,Rivers ,1297.14,Gombe ,500
1009,Broken Rice (Ofada),Jan-24,January,2024,1107.45,10.51,95.25,Lagos ,1713,Zamfara ,766.25
1010,Catfish (obokun) fresh,Jan-24,January,2024,2497.37,6.39,62.7,Imo ,3781.97,Taraba ,1350
1011,Catfish :dried,Jan-24,January,2024,3541.14,5.47,53.43,Enugu ,5889.6,Jigawa ,2130.5
1012,Catfish Smoked,Jan-24,January,2024,3078.91,7.3,63.42,Gombe ,3933.5,Jigawa ,2089
1013,Chicken Feet,Jan-24,January,2024,2052.1,5.21,90.09,Oyo ,2900,Borno ,794.45
1014,Chicken Wings,Jan-24,January,2024,2506.81,10.68,80.22,Abuja ,5000,Taraba ,1100
1015,Dried Fish Sardine,Jan-24,January,2024,3036.87,6.04,58.85,Nassarawa ,5000.16,Oyo ,1782.13
1016,Evaporated tinned milk carnation 170g,Jan-24,January,2024,519.32,6.43,78.86,Ekiti ,656,Kwara ,450
1017,"Evaporated tinned milk(peak), 170g",Jan-24,January,2024,575.78,6.23,61.73,Yobe ,696.11,Nassarawa ,495.71
1018,Frozen chicken,Jan-24,January,2024,4007.58,6.26,45.49,Enugu ,6098.65,Borno ,2975.84
1019,"Gari white,sold loose",Jan-24,January,2024,600.69,5.62,77.97,Cross_River ,761.88,Benue ,420.16
1020,"Gari yellow,sold loose",Jan-24,January,2024,624.21,4.25,66.07,Abuja ,750,Kogi ,451.33
1021,"Groundnut oil: 1 bottle, specify bottle",Jan-24,January,2024,1880.97,4.1,49.69,Ebonyi ,2662.8,Kogi ,1236.11
1022,Iced Sardine,Jan-24,January,2024,2400.76,4.2,49.94,Imo ,3549.98,Zamfara ,1504.67
1023,Irish potato,Jan-24,January,2024,1051.77,4.51,93.64,Abuja ,1883.33,Yobe ,512.2
1024,Mackerel : frozen,Jan-24,January,2024,2457.96,8.46,53.41,Ebonyi ,3667.19,Sokoto ,1861
1025,Maize grain white sold loose,Jan-24,January,2024,633.91,9.72,89.47,Abuja ,850,Osun ,435.54
1026,Maize grain yellow sold loose,Jan-24,January,2024,641.35,8.75,87.45,Abuja ,850,Zamfara ,467.44
1027,Mudfish (aro) fresh,Jan-24,January,2024,2380.44,7.49,67.83,Rivers ,3275,Gombe ,1339.5
1028,Mudfish : dried,Jan-24,January,2024,3411.9,8.75,52.76,Abia ,5488.24,Plateau ,1950
1029,Onion bulb,Jan-24,January,2024,881.2,-9.33,97.38,Rivers ,1454.09,Zamfara ,435.71
1030,"Palm oil: 1 bottle,specify bottle",Jan-24,January,2024,1456.72,2.2,39.53,Ondo ,1774.44,Akwa_Ibom ,1093.33
1031,Plantain(ripe),Jan-24,January,2024,810.67,6.95,110.69,Abuja ,1500,Borno ,412.14
1032,Plantain(unripe),Jan-24,January,2024,811.95,8.83,129.46,Abuja ,1500,Yobe ,407.52
1033,Rice agric sold loose,Jan-24,January,2024,1086.8,11.76,81.57,Abuja ,1600,Taraba ,795
1034,Rice local sold loose,Jan-24,January,2024,1021.79,11.31,98.47,Abuja ,1350,Benue ,800.64
1035,Rice Medium Grained,Jan-24,January,2024,1132.87,14.31,95.88,Kwara ,1361.34,Adamawa ,783.21
1036,"Rice,imported high quality sold loose",Jan-24,January,2024,1322.01,7.81,77.66,Abuja ,1750,Borno ,793.1
1037,Sweet potato,Jan-24,January,2024,615.47,11.51,124.9,Bayelsa ,1181.37,Jigawa ,298.88
1038,Tilapia fish (epiya) fresh,Jan-24,January,2024,2214.43,7.52,76.7,Lagos ,3373.33,Gombe ,796
1039,Titus:frozen,Jan-24,January,2024,2628.51,4.63,51.62,Abia ,3735.54,Cross_River ,2127.43
